component,property,value,evidence_status,primary_source,source_location,analysis_or_decision_blocked,note
ISISPACE ICEPS2 Type A,output domains,VD0 unregulated x1; VD1 5 V x4; VD2 3.3 V x4,VERIFIED_FAMILY,S02,product specification,Final interface,Exact delivered limits/revision still required
ISISPACE ICEPS2 Type A,output voltage/current and transients,Datasheet gives static channel tables; complete integrated transient envelope for Degen-1 is not established,PARTIAL,S03,electrical tables,OBC/radio/camera supply compatibility and D1-IF design,
ISISPACE ICEPS2 Type A,connectors/pinout/protocol,Public datasheet gives interfaces; as-ordered pinout/manual and command protocol are incomplete publicly,PARTIAL,S03,interfaces; delivery contents,Harness and flight software release,
ISISPACE ICEPS2 Type A,operating/charge/discharge/storage limits,Product range -20 to +70 C; issue 1.2 gives battery charge/discharge limits,PARTIAL,S02; S03,product page and temperature tables,Complete safety/life case,Exact configuration conflict remains
ISISPACE ICEPS2 Type A,battery cell identity/cycle/calendar life,UNKNOWN,UNKNOWN,S02; S03,documents checked,12-month energy retention and safety assurance,
ISISPACE ICEPS2 Type A,installed thermal properties/heater topology,"Heat capacity, installed conductance, sensor placement and exact heater/control configuration UNKNOWN",UNKNOWN,S02; S03,documents checked,Component-specific thermal prediction; TMI-001,
ISISPACE ICEPS2 Type A,inhibit/RBF topology,Option families described; exact selected three-switch/RBF source-to-hazard topology UNKNOWN,UNKNOWN,S03,inhibit sections,Launch hazard independence and switch harness,
ISISPACE ICEPS2 Type A,qualification and shipped-unit acceptance,Page lists QT/AT scope; vibration/shock and acceptance TVAC not shown,PARTIAL,S02,qualification table,Launch survival/acceptance claim,
ISISPACE ICEPS2 Type A,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
ISISPACE 1U customizable solar-panel family,commercial identity,1U family; six exact face configurations/order codes UNKNOWN,UNKNOWN,S04,configuration selector,Configuration control,
ISISPACE 1U customizable solar-panel family,orderability and price,Current quote route; public price UNKNOWN,PARTIAL,S04,current product page,Cost closure,
ISISPACE 1U customizable solar-panel family,mass,"50 g per 1U panel, configuration dependent",VERIFIED_FAMILY,S04,product specification,Exact mass rollup,
ISISPACE 1U customizable solar-panel family,dimensions/mechanical drawing,Thickness 1.2-2.0 mm typical; exact planforms/apertures/mounting UNKNOWN,UNKNOWN,S04,product specification,"CAD fit, camera aperture, AntS mounting",
ISISPACE 1U customizable solar-panel family,cell technology/per-cell BOL,"GaAs, 30%, approximately 1.23 W and 2.7 V per cell",VERIFIED_APPROXIMATE,S04,product specification,Guaranteed face power,Approximate catalog values are not configuration acceptance values
ISISPACE 1U customizable solar-panel family,hot/cold/EOL IV behavior,UNKNOWN curves and tolerances for selected layouts,UNKNOWN,S04,checked page,Orbit/attitude/temperature power closure,
ISISPACE 1U customizable solar-panel family,harness/connectors,"Custom flat inline Omnetics, Spec44 AWG26, harness included; exact pinout/length UNKNOWN",PARTIAL,S04,product specification,Harness release and voltage-drop analysis,
ISISPACE 1U customizable solar-panel family,temperature/radiation,-40 to +80 C; manufacturer states 2 years minimum LEO,VERIFIED_CLAIM,S04,product specification,Orbit-specific degradation remains analysis/test work,
ISISPACE 1U customizable solar-panel family,qualification/acceptance,Page lists QT functional/thermal/vibration/shock and AT functional/thermal cycling only,VERIFIED_SCOPE,S04,qualification table,As-delivered launch/TVAC acceptance strategy,
ISISPACE 1U customizable solar-panel family,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
Pumpkin CubeSat Kit fixed solar-panel family,commercial identity,Fixed-panel family; exact 1U side/end configurations and order codes not exposed by the current selector,UNKNOWN,S58,current store page,Configuration control,
Pumpkin CubeSat Kit fixed solar-panel family,orderability and price,USD 2500-5650 family range; exact selections shown Unavailable,NOT_CURRENTLY_OBTAINABLE,S58,current store page,Phase 1 COTS identity and cost closure,
Pumpkin CubeSat Kit fixed solar-panel family,dimensions/mass/mounting,"0.8 mm thickness and separate clip system documented; exact planforms, mass, hole pattern and clip allocation are UNKNOWN",PARTIAL,S58; S59,store pages,CAD fit and mass properties,
Pumpkin CubeSat Kit fixed solar-panel family,cell technology/electrical output,"Triple-junction cells over 32% AM0 efficiency claimed; exact cell identity, stringing, BOL IV limits and tolerances UNKNOWN",UNKNOWN,S58,current store page,Orbit/attitude/temperature power closure,
Pumpkin CubeSat Kit fixed solar-panel family,hot/cold/EOL behavior,UNKNOWN for any selectable 1U configuration,UNKNOWN,S58,page checked,Twelve-month energy balance,
Pumpkin CubeSat Kit fixed solar-panel family,harness/connectors/pinout,UNKNOWN for any selectable 1U configuration,UNKNOWN,S58,page checked,Harness release and loss analysis,
Pumpkin CubeSat Kit fixed solar-panel family,operating/storage/radiation limits,UNKNOWN for the selectable fixed-panel configuration,UNKNOWN,S58,page checked,Thermal and degradation analysis,
Pumpkin CubeSat Kit fixed solar-panel family,qualification/acceptance,Page states vacuum bakeout and irradiance test for every panel plus family heritage; test limits and configuration-specific report are not public,PARTIAL,S58,current store page,Launch and acceptance claim,
Pumpkin CubeSat Kit fixed solar-panel family,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
GomSpace NanoMind A3200,commercial identity,NanoMind A3200; exact current sales code/revision UNKNOWN,PARTIAL,S07; S08,current page; datasheet,Configuration control,
GomSpace NanoMind A3200,orderability and price,Current quote route; public price UNKNOWN,PARTIAL,S07,current page,Cost closure,
GomSpace NanoMind A3200,dimensions/mass,65 x 40 x 7.1 mm and 24 g including shield in registered datasheet,VERIFIED_DOCUMENT,S08,mechanical/physical tables,Confirm delivered revision,
GomSpace NanoMind A3200,supply/power,3.2-3.4 V; documented current by clock/workload and extra loads,VERIFIED_DOCUMENT,S08,electrical tables,Integrated transient compatibility remains open,
GomSpace NanoMind A3200,connectors/pinout,Two 20-position FSI connectors and public pinout,VERIFIED_DOCUMENT,S08,connector sections,Exact carrier option mapping,
GomSpace NanoMind A3200,interfaces/protocols,"I2C, UART, CAN, SPI, ADC; CSP/GOSH",VERIFIED,S07; S08,current page and datasheet,,
GomSpace NanoMind A3200,storage/processor/RTC/sensors,"Public memory, processor, RTC, temperature, magnetometer and gyro descriptions",VERIFIED,S07; S08,feature tables,Gyro performance/range needed for imaging screen remains to confirm,
GomSpace NanoMind A3200,operating/storage limits,Operating limit documented; storage/survival and all component derating evidence incomplete,PARTIAL,S08,ratings tables,Thermal/survival and reliability analysis,
GomSpace NanoMind A3200,software/manual/errata,"Commercial software packages noted; current BSP/API license, manual and errata not public",UNKNOWN,S07; S08,documents checked,Flight-software schedule and command/fault implementation,
GomSpace NanoMind A3200,radiation/qualification/life,Older public radiation claim exists; exact current hardware application and one-year reliability evidence incomplete,PARTIAL,S08,radiation/environment sections,Part-level radiation assurance and life claim,
GomSpace NanoMind A3200,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
GomSpace NanoDock DMC-3 / part 200232,commercial identity,NanoDock DMC-3; qualification certificate identifies product 200232,VERIFIED,S44; S47,current page; certificate p4,,
GomSpace NanoDock DMC-3 / part 200232,orderability and price,Current add-to-quote route; public price UNKNOWN,PARTIAL,S44,current page,Cost closure,
GomSpace NanoDock DMC-3 / part 200232,dimensions/mass,91.9 x 88.7 x 8.6 mm; 51 g without daughterboards,VERIFIED,S45,datasheet p4/p14,,
GomSpace NanoDock DMC-3 / part 200232,mounting/stack interfaces,"PC/104 fit, mechanical drawing, FSI and stack connector identities/pinouts documented",VERIFIED,S45,datasheet pp6-15,,
GomSpace NanoDock DMC-3 / part 200232,power/data routing,CAN/I2C permanent; supply and connector populations configured by option sheet,VERIFIED_CONFIGURABLE,S45; S46,datasheet pp5-13; option sheet,Exact option selection,
GomSpace NanoDock DMC-3 / part 200232,operating limits,-40 to +85 C; board is passive in flight except USB circuit powered only from USB,VERIFIED,S45,"datasheet pp4,14",,
GomSpace NanoDock DMC-3 / part 200232,environmental qualification,"Certificate gives product 200232 sine/random/quasi-static/shock, TVAC, stress and heritage scope",VERIFIED_MANUFACTURER_CERTIFICATE,S47,certificate pp4-6,Launch tailoring/as-delivered acceptance remains later,
GomSpace NanoDock DMC-3 / part 200232,exact ordered configuration,"Connector option, omitted bottom connectors, terminations and supply routing not yet selected",UNKNOWN_PROJECT_DECISION,S46,option sheet,Configuration control and harness release,
GomSpace NanoDock DMC-3 / part 200232,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,exact configuration row,Admission to Phase 1 baseline,
GomSpace NanoCom AX100-U / part 200315 Mode 5,commercial identity,AX100-U sales part 200315; Mode 5 only per lifetime-extension PCN,VERIFIED,S09; S11,current page; PCN,,
GomSpace NanoCom AX100-U / part 200315 Mode 5,orderability and price,Current add-to-quote route; public price UNKNOWN,PARTIAL,S09,current page,Cost closure,
GomSpace NanoCom AX100-U / part 200315 Mode 5,dimensions/mass,65 x 40 x 6.5 mm; 24.5 g,VERIFIED,S09; S10,page; datasheet,,
GomSpace NanoCom AX100-U / part 200315 Mode 5,supply/current/power,3.3 V; RX and TX current tables including temperature maxima documented,VERIFIED_DOCUMENT,S10,electrical table,Integrated rail transient compatibility remains open,
GomSpace NanoCom AX100-U / part 200315 Mode 5,RF range/output/sensitivity/data rate,430-440 MHz UHF; 24-30 dBm; public modulation/rate/sensitivity details,VERIFIED_DOCUMENT,S09; S10; S11,current page; datasheet; PCN,Authorized operating frequency and final link case,
GomSpace NanoCom AX100-U / part 200315 Mode 5,connectors/pinout,20-position FSI and MCX; public connector pinout,VERIFIED_DOCUMENT,S09; S10,page and datasheet connector section,Carrier option map and coax selection,
GomSpace NanoCom AX100-U / part 200315 Mode 5,data protocol,"I2C/UART/CAN, CSP/GOSH; framing/FEC described",VERIFIED,S09; S10,current page; datasheet,Exact current firmware/API manual,
GomSpace NanoCom AX100-U / part 200315 Mode 5,operating/storage limits,Operating -30 to +85 C; full storage/survival evidence for delivered revision incomplete,PARTIAL,S09; S10,ratings sections,Thermal/survival analysis,
GomSpace NanoCom AX100-U / part 200315 Mode 5,qualification/radiation/life,Workmanship and product information public; configuration-specific qualification/acceptance and one-year radiation evidence incomplete,UNKNOWN,S09; S10; S11,documents checked,Launch survival and radiation/life assurance,
GomSpace NanoCom AX100-U / part 200315 Mode 5,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,commercial identity,"1U-3U family, turnstile and 5 V choices; exact order code/frequency UNKNOWN",PARTIAL,S05,current selector,Configuration control,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,orderability and price,Current quote route; public price UNKNOWN,PARTIAL,S05,current page,Cost closure,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,stowed dimensions/mass,98 x 98 x 7 mm with cover; less than 90 g,VERIFIED_FAMILY,S05,product specification,Exact configured mass,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,power/control,less than 60 mW nominal at 5 V; 2 W deployment; I2C,VERIFIED_FAMILY,S05,product specification,Pinout/command and transient details,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,RF properties,145-868 MHz family; greater than 10 dB return loss; UHF 0 dBi main beam; greater than 50 MHz family bandwidth,VERIFIED_FAMILY,S05,product specification,Integrated tuned pattern and link margin,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,connector/pinout,Miniature 9-pin Omnetics named; exact pinout and RF connector for selected variant UNKNOWN,UNKNOWN,S05,checked page,Harness and coax release,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,deployment geometry/constraints,Up to four 55 cm elements; deployment time under 5 s; exact turnstile element layout/envelope UNKNOWN,PARTIAL,S05,overview/specification,CAD clearance and dynamics,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,temperature,Operational -20 to +60 C; deployment -5 to +60 C,VERIFIED_FAMILY,S05,product specification,,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,qualification/acceptance,Page lists QT/AT scope; no public detailed report for selected configuration,PARTIAL,S05,qualification table,Launch and deployment reliability claim,
ISISPACE VHF/UHF Antenna 1U-3U / 5 V turnstile,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
SkyFox Labs piCAM/FM,commercial identity,piCAM/FM Flight Model,VERIFIED,S48; S49,product page; datasheet pp1-2,,
SkyFox Labs piCAM/FM,orderability and price,EUR 4950 quantity one; 2-4 weeks plus shipping,VERIFIED_INDICATIVE,S48,current product page,Export/delivery confirmation remains,
SkyFox Labs piCAM/FM,dimensions/mass/mounting,"33 x 33 x 19 mm body plus optics; 48 x 33 bracket, four M2.5 holes; 40 g lens-dependent",VERIFIED,S48; S49,"page; datasheet pp2,4",Exact selected lens envelope/mass,
SkyFox Labs piCAM/FM,supply/current/power,"2.7-3.6 V, 3.3 V nominal, 95 mA datasheet operating current; page says 90 mA",CONFLICT_MINOR,S48; S49,page; datasheet p3,Power allocation and rail compatibility,Use 95 mA for screening only after resolving whether it is a guaranteed maximum
SkyFox Labs piCAM/FM,connector/pinout,Molex PicoBlade 53261 six-pin; full signal table and boot sequence,VERIFIED,S49,datasheet pp4-5,Mating harness parts still need selection,
SkyFox Labs piCAM/FM,protocol/data product,3.3 V UART 1.2-921.6 kbps; one-byte commands; VGA RGB JPEG ASCII-hex framing,VERIFIED,S49,"datasheet pp2,6-10",,
SkyFox Labs piCAM/FM,optics/exposure,"Default approximately 60 degree diagonal, IR cut, infinity focus, automatic shutter/day-night",PARTIAL,S48; S49,"page; datasheet pp2,10",Exact lens distortion/MTF/exposure bounds and image-opportunity analysis,
SkyFox Labs piCAM/FM,operating/storage limits,Operating -30 to +85 C; storage -40 to +85 C; application note inconsistently calls -40 to +85 operating,CONFLICT,S49,"datasheet pp3,13",Thermal operating limit and test criteria,
SkyFox Labs piCAM/FM,mechanical/thermal integration,"Manufacturer recommends four standoffs, insulated from outer parts and 1 mm aperture gap",VERIFIED_GUIDANCE,S49,datasheet p13,Bracket design and installed conductance remain custom,
SkyFox Labs piCAM/FM,radiation/latchup,Manufacturer states COTS parts and no radiation-hardened ICs; recommends external current limiting,VERIFIED_LIMITATION,S49,datasheet pp13-14,One-year radiation survival and D1-IF protection design,
SkyFox Labs piCAM/FM,qualification/acceptance/life,Vendor states TRL9 and more than one year on orbit; public delivered-unit qualification/acceptance report and reliability basis not located,UNKNOWN,S48; S49,page; datasheet checked,Launch survival and one-year configuration-specific claim,
SkyFox Labs piCAM/FM,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
